problem,learner,property,fixed,relative,size,learnsymbols,eqsymbols,emsymbols,isymbols,learnqueries,eqqueries,emqueries,iqueries
5,ExtensibleLStar,22,0,0,234,777155,11601300,258,0,99866,1301152,3,0
5,ExtensibleLStar,12,0,0,234,777155,11601300,2442,0,99866,1301152,8,0
5,ExtensibleLStar,1,0,0,234,777155,11601300,3234,0,99866,1301152,12,0
5,ExtensibleLStar,86,0,0,234,777155,11601300,4017,0,99866,1301152,16,0
5,ExtensibleLStar,97,0,0,234,777155,11601300,4302,0,99866,1301152,19,0
5,ExtensibleLStar,48,0,0,234,777155,11601300,5977,0,99866,1301152,23,0
5,ExtensibleLStar,63,0,0,234,777155,11601300,6307,0,99866,1301152,26,0
5,ExtensibleLStar,67,0,0,234,777155,11601300,6601,0,99866,1301152,29,0
5,ExtensibleLStar,16,0,0,234,777155,11601300,8304,0,99866,1301152,33,0
5,ExtensibleLStar,81,0,0,234,777155,11601300,10053,0,99866,1301152,37,0
5,ExtensibleLStar,30,0,0,234,777155,11601300,11749,0,99866,1301152,41,0
5,ExtensibleLStar,46,0,0,234,777155,11601300,13907,0,99866,1301152,46,0
5,ExtensibleLStar,94,0,0,234,777155,11601300,14195,0,99866,1301152,49,0
5,ExtensibleLStar,93,0,0,234,777155,11601300,14480,0,99866,1301152,52,0
5,ExtensibleLStar,53,0,0,234,777155,11601300,14804,0,99866,1301152,55,0
5,ExtensibleLStar,41,0,0,234,777155,11601300,16780,0,99866,1301152,58,0
5,ExtensibleLStar,44,0,0,234,777155,11601300,17585,0,99866,1301152,62,0
5,ExtensibleLStar,45,0,0,234,777155,11601300,19274,0,99866,1301152,66,0
5,ExtensibleLStar,51,0,0,234,777155,11601300,19562,0,99866,1301152,69,0
5,ExtensibleLStar,8,0,0,234,777155,11601300,19847,0,99866,1301152,72,0
5,ExtensibleLStar,7,0,0,234,777155,11601300,22955,0,99866,1301152,77,0
5,ExtensibleLStar,68,0,0,234,777155,11601300,23243,0,99866,1301152,80,0
5,ExtensibleLStar,20,0,0,234,777155,11601300,23549,0,99866,1301152,83,0
5,ExtensibleLStar,32,0,0,234,777155,11601300,23825,0,99866,1301152,86,0
5,ExtensibleLStar,58,0,0,234,777155,11601300,24110,0,99866,1301152,89,0
5,ExtensibleLStar,34,0,0,234,777155,11601300,24849,0,99866,1301152,92,0
5,ExtensibleLStar,69,0,0,234,777155,11601300,25128,0,99866,1301152,95,0
5,ExtensibleLStar,38,0,0,234,777155,11601300,26974,0,99866,1301152,98,0
5,ExtensibleLStar,23,0,0,234,777155,11601300,29182,0,99866,1301152,103,0
5,ExtensibleLStar,13,0,0,234,777155,11601300,32173,0,99866,1301152,107,0
5,ExtensibleLStar,35,0,0,234,777155,11601300,32443,0,99866,1301152,110,0
5,ExtensibleLStar,98,0,0,234,777155,11601300,32731,0,99866,1301152,113,0
5,ExtensibleLStar,60,0,0,234,777155,11601300,33523,0,99866,1301152,117,0
5,ExtensibleLStar,0,0,0,234,777155,11601300,35109,0,99866,1301152,120,0
5,ExtensibleLStar,18,0,0,234,777155,11601300,35421,0,99866,1301152,123,0
5,ExtensibleLStar,72,0,0,234,777155,11601300,35697,0,99866,1301152,126,0
5,ExtensibleLStar,99,0,0,234,777155,11601300,36462,0,99866,1301152,130,0
5,ExtensibleLStar,65,0,0,234,777155,11601300,37272,0,99866,1301152,133,0
5,ExtensibleLStar,76,0,0,234,777155,11601300,37560,0,99866,1301152,136,0
5,ExtensibleLStar,92,0,0,234,777155,11601300,37848,0,99866,1301152,139,0
5,ExtensibleLStar,74,0,0,234,777155,11601300,38127,0,99866,1301152,142,0
5,ExtensibleLStar,37,0,0,234,777155,11601300,39807,0,99866,1301152,146,0
5,ExtensibleLStar,64,0,0,234,777155,11601300,41491,0,99866,1301152,150,0
5,ExtensibleLStar,42,0,0,234,777155,11601300,41761,0,99866,1301152,153,0
5,ExtensibleLStar,82,0,0,234,777155,11601300,42046,0,99866,1301152,156,0
5,ExtensibleLStar,79,0,0,234,777155,11601300,44216,0,99866,1301152,161,0
5,ExtensibleLStar,4,0,0,234,777155,11601300,44483,0,99866,1301152,164,0
5,ExtensibleLStar,24,0,0,234,777155,11601300,44768,0,99866,1301152,167,0
5,ExtensibleLStar,62,0,0,234,777155,11601300,46484,0,99866,1301152,171,0
