problem,learner,property,fixed,relative,size,learnsymbols,eqsymbols,emsymbols,isymbols,learnqueries,eqqueries,emqueries,iqueries
5,RivestSchapire,7,0,0,234,613523,10817573,297,0,70286,1205127,3,0
5,RivestSchapire,99,0,0,234,613523,10817573,582,0,70286,1205127,6,0
5,RivestSchapire,20,0,0,234,613523,10817573,888,0,70286,1205127,9,0
5,RivestSchapire,37,0,0,234,613523,10817573,2564,0,70286,1205127,13,0
5,RivestSchapire,76,0,0,234,613523,10817573,2852,0,70286,1205127,16,0
5,RivestSchapire,34,0,0,234,613523,10817573,3591,0,70286,1205127,19,0
5,RivestSchapire,94,0,0,234,613523,10817573,3879,0,70286,1205127,22,0
5,RivestSchapire,46,0,0,234,613523,10817573,4632,0,70286,1205127,26,0
5,RivestSchapire,65,0,0,234,613523,10817573,9657,0,70286,1205127,32,0
5,RivestSchapire,64,0,0,234,613523,10817573,11346,0,70286,1205127,36,0
5,RivestSchapire,79,0,0,234,613523,10817573,12111,0,70286,1205127,40,0
5,RivestSchapire,38,0,0,234,613523,10817573,15364,0,70286,1205127,44,0
5,RivestSchapire,93,0,0,234,613523,10817573,15649,0,70286,1205127,47,0
5,RivestSchapire,44,0,0,234,613523,10817573,16444,0,70286,1205127,51,0
5,RivestSchapire,92,0,0,234,613523,10817573,16732,0,70286,1205127,54,0
5,RivestSchapire,51,0,0,234,613523,10817573,17020,0,70286,1205127,57,0
5,RivestSchapire,12,0,0,234,613523,10817573,18721,0,70286,1205127,61,0
5,RivestSchapire,0,0,0,234,613523,10817573,20791,0,70286,1205127,65,0
5,RivestSchapire,48,0,0,234,613523,10817573,21061,0,70286,1205127,68,0
5,RivestSchapire,42,0,0,234,613523,10817573,21331,0,70286,1205127,71,0
5,RivestSchapire,13,0,0,234,613523,10817573,22917,0,70286,1205127,74,0
5,RivestSchapire,68,0,0,234,613523,10817573,23685,0,70286,1205127,78,0
5,RivestSchapire,45,0,0,234,613523,10817573,23964,0,70286,1205127,81,0
5,RivestSchapire,69,0,0,234,613523,10817573,24243,0,70286,1205127,84,0
5,RivestSchapire,18,0,0,234,613523,10817573,26452,0,70286,1205127,89,0
5,RivestSchapire,30,0,0,234,613523,10817573,26743,0,70286,1205127,92,0
5,RivestSchapire,32,0,0,234,613523,10817573,28435,0,70286,1205127,96,0
5,RivestSchapire,8,0,0,234,613523,10817573,28720,0,70286,1205127,99,0
5,RivestSchapire,67,0,0,234,613523,10817573,29014,0,70286,1205127,102,0
5,RivestSchapire,4,0,0,234,613523,10817573,29281,0,70286,1205127,105,0
5,RivestSchapire,41,0,0,234,613523,10817573,31257,0,70286,1205127,108,0
5,RivestSchapire,86,0,0,234,613523,10817573,31551,0,70286,1205127,111,0
5,RivestSchapire,24,0,0,234,613523,10817573,36056,0,70286,1205127,117,0
5,RivestSchapire,58,0,0,234,613523,10817573,38235,0,70286,1205127,122,0
5,RivestSchapire,98,0,0,234,613523,10817573,38523,0,70286,1205127,125,0
5,RivestSchapire,16,0,0,234,613523,10817573,38820,0,70286,1205127,128,0
5,RivestSchapire,97,0,0,234,613523,10817573,40515,0,70286,1205127,132,0
5,RivestSchapire,63,0,0,234,613523,10817573,40845,0,70286,1205127,135,0
5,RivestSchapire,23,0,0,234,613523,10817573,41163,0,70286,1205127,138,0
5,RivestSchapire,74,0,0,234,613523,10817573,41442,0,70286,1205127,141,0
5,RivestSchapire,72,0,0,234,613523,10817573,42198,0,70286,1205127,145,0
5,RivestSchapire,35,0,0,234,613523,10817573,42468,0,70286,1205127,148,0
5,RivestSchapire,53,0,0,234,613523,10817573,44197,0,70286,1205127,152,0
5,RivestSchapire,62,0,0,234,613523,10817573,44506,0,70286,1205127,155,0
5,RivestSchapire,22,0,0,234,613523,10817573,46659,0,70286,1205127,160,0
5,RivestSchapire,82,0,0,234,613523,10817573,46944,0,70286,1205127,163,0
5,RivestSchapire,1,0,0,234,613523,10817573,47244,0,70286,1205127,166,0
5,RivestSchapire,60,0,0,234,613523,10817573,47556,0,70286,1205127,169,0
5,RivestSchapire,81,0,0,234,613523,10817573,47889,0,70286,1205127,172,0
