problem,learner,property,fixed,relative,size,learnsymbols,eqsymbols,emsymbols,isymbols,learnqueries,eqqueries,emqueries,iqueries
6,ADT,11,0,0,230,142623,15018466,573,0,12709,1921753,5,0
6,ADT,25,0,0,230,142623,15018466,1291,0,12709,1921753,8,0
6,ADT,38,0,0,230,142623,15018466,1901,0,12709,1921753,11,0
6,ADT,3,0,0,230,142623,15018466,3084,0,12709,1921753,15,0
6,ADT,55,0,0,230,142623,15018466,3676,0,12709,1921753,18,0
6,ADT,94,0,0,230,142623,15018466,4690,0,12709,1921753,21,0
6,ADT,6,0,0,230,142623,15018466,5211,0,12709,1921753,24,0
6,ADT,52,0,0,230,142623,15018466,5522,0,12709,1921753,27,0
6,ADT,17,0,0,230,142623,15018466,7410,0,12709,1921753,31,0
6,ADT,0,0,0,230,142623,15018466,8126,0,12709,1921753,34,0
6,ADT,15,0,0,230,142623,15018466,8842,0,12709,1921753,37,0
6,ADT,68,0,0,230,142623,15018466,9558,0,12709,1921753,40,0
6,ADT,83,0,0,230,142623,15018466,10205,0,12709,1921753,43,0
6,ADT,82,0,0,230,142623,15018466,10720,0,12709,1921753,46,0
6,ADT,32,0,0,230,142623,15018466,11350,0,12709,1921753,49,0
6,ADT,72,0,0,230,142623,15018466,12364,0,12709,1921753,52,0
6,ADT,97,0,0,230,142623,15018466,12964,0,12709,1921753,55,0
6,ADT,2,0,0,230,142623,15018466,13680,0,12709,1921753,58,0
6,ADT,21,0,0,230,142623,15018466,13956,0,12709,1921753,61,0
6,ADT,62,0,0,230,142623,15018466,14672,0,12709,1921753,64,0
6,ADT,30,0,0,230,142623,15018466,15254,0,12709,1921753,67,0
6,ADT,57,0,0,230,142623,15018466,15970,0,12709,1921753,70,0
6,ADT,18,0,0,230,142623,15018466,16686,0,12709,1921753,73,0
6,ADT,66,0,0,230,142623,15018466,18354,0,12709,1921753,77,0
6,ADT,60,0,0,230,142623,15018466,19000,0,12709,1921753,80,0
6,ADT,31,0,0,230,142623,15018466,19741,0,12709,1921753,83,0
6,ADT,61,0,0,230,142623,15018466,20256,0,12709,1921753,86,0
6,ADT,67,0,0,230,142623,15018466,20968,0,12709,1921753,89,0
6,ADT,24,0,0,230,142623,15018466,21684,0,12709,1921753,92,0
6,ADT,87,0,0,230,142623,15018466,22899,0,12709,1921753,96,0
6,ADT,84,0,0,230,142623,15018466,23403,0,12709,1921753,99,0
6,ADT,5,0,0,230,142623,15018466,24050,0,12709,1921753,102,0
6,ADT,36,0,0,230,142623,15018466,24612,0,12709,1921753,105,0
6,ADT,10,0,0,230,142623,15018466,25348,0,12709,1921753,108,0
6,ADT,74,0,0,230,142623,15018466,27227,0,12709,1921753,112,0
6,ADT,50,0,0,230,142623,15018466,27532,0,12709,1921753,115,0
6,ADT,26,0,0,230,142623,15018466,27813,0,12709,1921753,118,0
6,ADT,14,0,0,230,142623,15018466,28505,0,12709,1921753,121,0
6,ADT,85,0,0,230,142623,15018466,29092,0,12709,1921753,124,0
6,ADT,22,0,0,230,142623,15018466,29662,0,12709,1921753,127,0
6,ADT,54,0,0,230,142623,15018466,30272,0,12709,1921753,130,0
6,ADT,59,0,0,230,142623,15018466,30918,0,12709,1921753,133,0
6,ADT,1,0,0,230,142623,15018466,31642,0,12709,1921753,136,0
6,ADT,29,0,0,230,142623,15018466,32358,0,12709,1921753,139,0
6,ADT,51,0,0,230,142623,15018466,32909,0,12709,1921753,142,0
6,ADT,70,0,0,230,142623,15018466,33929,0,12709,1921753,145,0
6,ADT,34,0,0,230,142623,15018466,35128,0,12709,1921753,149,0
6,ADT,88,0,0,230,142623,15018466,35844,0,12709,1921753,152,0
6,ADT,81,0,0,230,142623,15018466,36562,0,12709,1921753,155,0
6,ADT,92,0,0,230,142623,15018466,37278,0,12709,1921753,158,0
6,ADT,90,0,0,230,142623,15018466,38292,0,12709,1921753,161,0
6,ADT,4,0,0,230,142623,15018466,38855,0,12709,1921753,164,0
6,ADT,53,0,0,230,142623,15018466,39848,0,12709,1921753,167,0
6,ADT,13,0,0,230,142623,15018466,40401,0,12709,1921753,170,0
6,ADT,27,0,0,230,142623,15018466,40650,0,12709,1921753,173,0
6,ADT,78,0,0,230,142623,15018466,41453,0,12709,1921753,176,0
6,ADT,99,0,0,230,142623,15018466,41702,0,12709,1921753,179,0
