problem,learner,property,fixed,relative,size,learnsymbols,eqsymbols,emsymbols,isymbols,learnqueries,eqqueries,emqueries,iqueries
6,DHC,99,0,0,230,5034403,13401459,249,0,741827,1646574,3,0
6,DHC,30,0,0,230,5034403,13401459,2003,0,741827,1646574,7,0
6,DHC,94,0,0,230,5034403,13401459,3017,0,741827,1646574,10,0
6,DHC,51,0,0,230,5034403,13401459,3568,0,741827,1646574,13,0
6,DHC,34,0,0,230,5034403,13401459,4284,0,741827,1646574,16,0
6,DHC,60,0,0,230,5034403,13401459,4930,0,741827,1646574,19,0
6,DHC,88,0,0,230,5034403,13401459,5646,0,741827,1646574,22,0
6,DHC,3,0,0,230,5034403,13401459,6362,0,741827,1646574,25,0
6,DHC,62,0,0,230,5034403,13401459,7078,0,741827,1646574,28,0
6,DHC,70,0,0,230,5034403,13401459,8098,0,741827,1646574,31,0
6,DHC,53,0,0,230,5034403,13401459,9091,0,741827,1646574,34,0
6,DHC,72,0,0,230,5034403,13401459,10105,0,741827,1646574,37,0
6,DHC,54,0,0,230,5034403,13401459,11182,0,741827,1646574,41,0
6,DHC,32,0,0,230,5034403,13401459,11812,0,741827,1646574,44,0
6,DHC,57,0,0,230,5034403,13401459,12528,0,741827,1646574,47,0
6,DHC,90,0,0,230,5034403,13401459,13542,0,741827,1646574,50,0
6,DHC,81,0,0,230,5034403,13401459,14260,0,741827,1646574,53,0
6,DHC,97,0,0,230,5034403,13401459,14860,0,741827,1646574,56,0
6,DHC,82,0,0,230,5034403,13401459,15375,0,741827,1646574,59,0
6,DHC,74,0,0,230,5034403,13401459,16091,0,741827,1646574,62,0
6,DHC,11,0,0,230,5034403,13401459,16610,0,741827,1646574,65,0
6,DHC,6,0,0,230,5034403,13401459,17131,0,741827,1646574,68,0
6,DHC,24,0,0,230,5034403,13401459,17847,0,741827,1646574,71,0
6,DHC,38,0,0,230,5034403,13401459,18457,0,741827,1646574,74,0
6,DHC,17,0,0,230,5034403,13401459,19173,0,741827,1646574,77,0
6,DHC,27,0,0,230,5034403,13401459,19422,0,741827,1646574,80,0
6,DHC,87,0,0,230,5034403,13401459,20140,0,741827,1646574,83,0
6,DHC,10,0,0,230,5034403,13401459,20876,0,741827,1646574,86,0
6,DHC,59,0,0,230,5034403,13401459,21522,0,741827,1646574,89,0
6,DHC,0,0,0,230,5034403,13401459,22238,0,741827,1646574,92,0
6,DHC,85,0,0,230,5034403,13401459,23989,0,741827,1646574,96,0
6,DHC,22,0,0,230,5034403,13401459,24559,0,741827,1646574,99,0
6,DHC,84,0,0,230,5034403,13401459,25063,0,741827,1646574,102,0
6,DHC,18,0,0,230,5034403,13401459,25779,0,741827,1646574,105,0
6,DHC,68,0,0,230,5034403,13401459,26495,0,741827,1646574,108,0
6,DHC,61,0,0,230,5034403,13401459,28173,0,741827,1646574,112,0
6,DHC,83,0,0,230,5034403,13401459,28820,0,741827,1646574,115,0
6,DHC,4,0,0,230,5034403,13401459,29383,0,741827,1646574,118,0
6,DHC,78,0,0,230,5034403,13401459,30683,0,741827,1646574,122,0
6,DHC,25,0,0,230,5034403,13401459,31401,0,741827,1646574,125,0
6,DHC,14,0,0,230,5034403,13401459,32093,0,741827,1646574,128,0
6,DHC,67,0,0,230,5034403,13401459,32805,0,741827,1646574,131,0
6,DHC,31,0,0,230,5034403,13401459,34029,0,741827,1646574,135,0
6,DHC,52,0,0,230,5034403,13401459,34340,0,741827,1646574,138,0
6,DHC,21,0,0,230,5034403,13401459,34616,0,741827,1646574,141,0
6,DHC,1,0,0,230,5034403,13401459,35340,0,741827,1646574,144,0
6,DHC,2,0,0,230,5034403,13401459,36056,0,741827,1646574,147,0
6,DHC,26,0,0,230,5034403,13401459,36337,0,741827,1646574,150,0
6,DHC,55,0,0,230,5034403,13401459,36929,0,741827,1646574,153,0
6,DHC,50,0,0,230,5034403,13401459,37234,0,741827,1646574,156,0
6,DHC,92,0,0,230,5034403,13401459,37950,0,741827,1646574,159,0
6,DHC,13,0,0,230,5034403,13401459,38503,0,741827,1646574,162,0
6,DHC,5,0,0,230,5034403,13401459,39150,0,741827,1646574,165,0
6,DHC,29,0,0,230,5034403,13401459,39866,0,741827,1646574,168,0
6,DHC,36,0,0,230,5034403,13401459,40428,0,741827,1646574,171,0
6,DHC,66,0,0,230,5034403,13401459,40932,0,741827,1646574,174,0
6,DHC,15,0,0,230,5034403,13401459,41648,0,741827,1646574,177,0
