problem,learner,property,fixed,relative,size,learnsymbols,eqsymbols,emsymbols,isymbols,learnqueries,eqqueries,emqueries,iqueries
6,TTT,53,0,0,230,236859,19028540,993,0,36353,2482767,3,0
6,TTT,17,0,0,230,236859,19028540,1709,0,36353,2482767,6,0
6,TTT,66,0,0,230,236859,19028540,2213,0,36353,2482767,9,0
6,TTT,31,0,0,230,236859,19028540,2954,0,36353,2482767,12,0
6,TTT,83,0,0,230,236859,19028540,3601,0,36353,2482767,15,0
6,TTT,34,0,0,230,236859,19028540,4800,0,36353,2482767,19,0
6,TTT,0,0,0,230,236859,19028540,5516,0,36353,2482767,22,0
6,TTT,13,0,0,230,236859,19028540,7241,0,36353,2482767,26,0
6,TTT,2,0,0,230,236859,19028540,7957,0,36353,2482767,29,0
6,TTT,10,0,0,230,236859,19028540,8693,0,36353,2482767,32,0
6,TTT,92,0,0,230,236859,19028540,9409,0,36353,2482767,35,0
6,TTT,72,0,0,230,236859,19028540,10423,0,36353,2482767,38,0
6,TTT,60,0,0,230,236859,19028540,11069,0,36353,2482767,41,0
6,TTT,30,0,0,230,236859,19028540,11651,0,36353,2482767,44,0
6,TTT,74,0,0,230,236859,19028540,12367,0,36353,2482767,47,0
6,TTT,21,0,0,230,236859,19028540,12643,0,36353,2482767,50,0
6,TTT,84,0,0,230,236859,19028540,13614,0,36353,2482767,54,0
6,TTT,22,0,0,230,236859,19028540,14184,0,36353,2482767,57,0
6,TTT,14,0,0,230,236859,19028540,15373,0,36353,2482767,61,0
6,TTT,90,0,0,230,236859,19028540,16387,0,36353,2482767,64,0
6,TTT,97,0,0,230,236859,19028540,16987,0,36353,2482767,67,0
6,TTT,85,0,0,230,236859,19028540,17574,0,36353,2482767,70,0
6,TTT,36,0,0,230,236859,19028540,18136,0,36353,2482767,73,0
6,TTT,11,0,0,230,236859,19028540,18655,0,36353,2482767,76,0
6,TTT,94,0,0,230,236859,19028540,19669,0,36353,2482767,79,0
6,TTT,88,0,0,230,236859,19028540,20385,0,36353,2482767,82,0
6,TTT,59,0,0,230,236859,19028540,21031,0,36353,2482767,85,0
6,TTT,27,0,0,230,236859,19028540,21280,0,36353,2482767,88,0
6,TTT,52,0,0,230,236859,19028540,21591,0,36353,2482767,91,0
6,TTT,5,0,0,230,236859,19028540,22238,0,36353,2482767,94,0
6,TTT,26,0,0,230,236859,19028540,22519,0,36353,2482767,97,0
6,TTT,25,0,0,230,236859,19028540,23237,0,36353,2482767,100,0
6,TTT,51,0,0,230,236859,19028540,23788,0,36353,2482767,103,0
6,TTT,24,0,0,230,236859,19028540,24504,0,36353,2482767,106,0
6,TTT,1,0,0,230,236859,19028540,26392,0,36353,2482767,110,0
6,TTT,38,0,0,230,236859,19028540,27002,0,36353,2482767,113,0
6,TTT,4,0,0,230,236859,19028540,27565,0,36353,2482767,116,0
6,TTT,78,0,0,230,236859,19028540,28368,0,36353,2482767,119,0
6,TTT,54,0,0,230,236859,19028540,28978,0,36353,2482767,122,0
6,TTT,50,0,0,230,236859,19028540,29283,0,36353,2482767,125,0
6,TTT,82,0,0,230,236859,19028540,29798,0,36353,2482767,128,0
6,TTT,87,0,0,230,236859,19028540,30516,0,36353,2482767,131,0
6,TTT,3,0,0,230,236859,19028540,31232,0,36353,2482767,134,0
6,TTT,18,0,0,230,236859,19028540,31948,0,36353,2482767,137,0
6,TTT,67,0,0,230,236859,19028540,32660,0,36353,2482767,140,0
6,TTT,29,0,0,230,236859,19028540,33376,0,36353,2482767,143,0
6,TTT,70,0,0,230,236859,19028540,34396,0,36353,2482767,146,0
6,TTT,57,0,0,230,236859,19028540,35112,0,36353,2482767,149,0
6,TTT,15,0,0,230,236859,19028540,35828,0,36353,2482767,152,0
6,TTT,62,0,0,230,236859,19028540,36544,0,36353,2482767,155,0
6,TTT,61,0,0,230,236859,19028540,37059,0,36353,2482767,158,0
6,TTT,32,0,0,230,236859,19028540,37689,0,36353,2482767,161,0
6,TTT,81,0,0,230,236859,19028540,38407,0,36353,2482767,164,0
6,TTT,99,0,0,230,236859,19028540,38656,0,36353,2482767,167,0
6,TTT,55,0,0,230,236859,19028540,39248,0,36353,2482767,170,0
6,TTT,6,0,0,230,236859,19028540,39769,0,36353,2482767,173,0
6,TTT,68,0,0,230,236859,19028540,41648,0,36353,2482767,177,0
