problem,learner,property,fixed,relative,size,learnsymbols,eqsymbols,emsymbols,isymbols,learnqueries,eqqueries,emqueries,iqueries
7,DiscriminationTree,49,0,0,666,478539,93020129,718,0,43389,8784572,3,0
7,DiscriminationTree,98,0,0,666,478539,93020129,1430,0,43389,8784572,6,0
7,DiscriminationTree,52,0,0,666,478539,93020129,4139,0,43389,8784572,9,0
7,DiscriminationTree,0,0,0,666,478539,93020129,4833,0,43389,8784572,12,0
7,DiscriminationTree,63,0,0,666,478539,93020129,5527,0,43389,8784572,15,0
7,DiscriminationTree,41,0,0,666,478539,93020129,6287,0,43389,8784572,18,0
7,DiscriminationTree,48,0,0,666,478539,93020129,6981,0,43389,8784572,21,0
7,DiscriminationTree,16,0,0,666,478539,93020129,11022,0,43389,8784572,24,0
7,DiscriminationTree,23,0,0,666,478539,93020129,14393,0,43389,8784572,27,0
7,DiscriminationTree,6,0,0,666,478539,93020129,18434,0,43389,8784572,30,0
7,DiscriminationTree,60,0,0,666,478539,93020129,19188,0,43389,8784572,33,0
7,DiscriminationTree,45,0,0,666,478539,93020129,19933,0,43389,8784572,36,0
7,DiscriminationTree,42,0,0,666,478539,93020129,23295,0,43389,8784572,39,0
7,DiscriminationTree,5,0,0,666,478539,93020129,23989,0,43389,8784572,42,0
7,DiscriminationTree,21,0,0,666,478539,93020129,26698,0,43389,8784572,45,0
7,DiscriminationTree,26,0,0,666,478539,93020129,27407,0,43389,8784572,48,0
7,DiscriminationTree,4,0,0,666,478539,93020129,28119,0,43389,8784572,51,0
7,DiscriminationTree,67,0,0,666,478539,93020129,28813,0,43389,8784572,54,0
7,DiscriminationTree,28,0,0,666,478539,93020129,29525,0,43389,8784572,57,0
7,DiscriminationTree,29,0,0,666,478539,93020129,33569,0,43389,8784572,60,0
7,DiscriminationTree,92,0,0,666,478539,93020129,34263,0,43389,8784572,63,0
7,DiscriminationTree,69,0,0,666,478539,93020129,34957,0,43389,8784572,66,0
7,DiscriminationTree,95,0,0,666,478539,93020129,38319,0,43389,8784572,69,0
7,DiscriminationTree,90,0,0,666,478539,93020129,39037,0,43389,8784572,72,0
7,DiscriminationTree,68,0,0,666,478539,93020129,39731,0,43389,8784572,75,0
7,DiscriminationTree,43,0,0,666,478539,93020129,40443,0,43389,8784572,78,0
7,DiscriminationTree,10,0,0,666,478539,93020129,43805,0,43389,8784572,81,0
7,DiscriminationTree,37,0,0,666,478539,93020129,44499,0,43389,8784572,84,0
7,DiscriminationTree,58,0,0,666,478539,93020129,45247,0,43389,8784572,87,0
7,DiscriminationTree,14,0,0,666,478539,93020129,45971,0,43389,8784572,90,0
7,DiscriminationTree,57,0,0,666,478539,93020129,50000,0,43389,8784572,93,0
7,DiscriminationTree,56,0,0,666,478539,93020129,50694,0,43389,8784572,96,0
7,DiscriminationTree,40,0,0,666,478539,93020129,51421,0,43389,8784572,99,0
7,DiscriminationTree,65,0,0,666,478539,93020129,52136,0,43389,8784572,102,0
7,DiscriminationTree,55,0,0,666,478539,93020129,55555,0,43389,8784572,105,0
7,DiscriminationTree,70,0,0,666,478539,93020129,56291,0,43389,8784572,108,0
7,DiscriminationTree,9,0,0,666,478539,93020129,59000,0,43389,8784572,111,0
7,DiscriminationTree,13,0,0,666,478539,93020129,62381,0,43389,8784572,114,0
7,DiscriminationTree,86,0,0,666,478539,93020129,63156,0,43389,8784572,117,0
7,DiscriminationTree,74,0,0,666,478539,93020129,63865,0,43389,8784572,120,0
7,DiscriminationTree,82,0,0,666,478539,93020129,64622,0,43389,8784572,123,0
7,DiscriminationTree,35,0,0,666,478539,93020129,67388,0,43389,8784572,126,0
7,DiscriminationTree,50,0,0,666,478539,93020129,68100,0,43389,8784572,129,0
7,DiscriminationTree,99,0,0,666,478539,93020129,68854,0,43389,8784572,132,0
7,DiscriminationTree,61,0,0,666,478539,93020129,69566,0,43389,8784572,135,0
7,DiscriminationTree,39,0,0,666,478539,93020129,70260,0,43389,8784572,138,0
7,DiscriminationTree,47,0,0,666,478539,93020129,70996,0,43389,8784572,141,0
7,DiscriminationTree,94,0,0,666,478539,93020129,75022,0,43389,8784572,144,0
7,DiscriminationTree,93,0,0,666,478539,93020129,75716,0,43389,8784572,147,0
7,DiscriminationTree,18,0,0,666,478539,93020129,79078,0,43389,8784572,150,0
7,DiscriminationTree,27,0,0,666,478539,93020129,79799,0,43389,8784572,153,0
7,DiscriminationTree,22,0,0,666,478539,93020129,80493,0,43389,8784572,156,0
7,DiscriminationTree,64,0,0,666,478539,93020129,81229,0,43389,8784572,159,0
7,DiscriminationTree,30,0,0,666,478539,93020129,81923,0,43389,8784572,162,0
7,DiscriminationTree,51,0,0,666,478539,93020129,82617,0,43389,8784572,165,0
7,DiscriminationTree,1,0,0,666,478539,93020129,83311,0,43389,8784572,168,0
7,DiscriminationTree,79,0,0,666,478539,93020129,86035,0,43389,8784572,171,0
