problem,learner,property,fixed,relative,size,learnsymbols,eqsymbols,emsymbols,isymbols,learnqueries,eqqueries,emqueries,iqueries
7,MalerPnueli,99,0,0,666,8097314,10312905,754,0,532880,929494,3,0
7,MalerPnueli,37,0,0,666,8097314,10312905,1448,0,532880,929494,6,0
7,MalerPnueli,10,0,0,666,8097314,10312905,4810,0,532880,929494,9,0
7,MalerPnueli,55,0,0,666,8097314,10312905,8229,0,532880,929494,12,0
7,MalerPnueli,94,0,0,666,8097314,10312905,12255,0,532880,929494,15,0
7,MalerPnueli,95,0,0,666,8097314,10312905,15617,0,532880,929494,18,0
7,MalerPnueli,50,0,0,666,8097314,10312905,16329,0,532880,929494,21,0
7,MalerPnueli,26,0,0,666,8097314,10312905,17038,0,532880,929494,24,0
7,MalerPnueli,61,0,0,666,8097314,10312905,17750,0,532880,929494,27,0
7,MalerPnueli,65,0,0,666,8097314,10312905,18465,0,532880,929494,30,0
7,MalerPnueli,29,0,0,666,8097314,10312905,22509,0,532880,929494,33,0
7,MalerPnueli,64,0,0,666,8097314,10312905,23245,0,532880,929494,36,0
7,MalerPnueli,14,0,0,666,8097314,10312905,23969,0,532880,929494,39,0
7,MalerPnueli,79,0,0,666,8097314,10312905,26693,0,532880,929494,42,0
7,MalerPnueli,28,0,0,666,8097314,10312905,27405,0,532880,929494,45,0
7,MalerPnueli,93,0,0,666,8097314,10312905,28099,0,532880,929494,48,0
7,MalerPnueli,92,0,0,666,8097314,10312905,28793,0,532880,929494,51,0
7,MalerPnueli,51,0,0,666,8097314,10312905,29487,0,532880,929494,54,0
7,MalerPnueli,39,0,0,666,8097314,10312905,30181,0,532880,929494,57,0
7,MalerPnueli,0,0,0,666,8097314,10312905,30875,0,532880,929494,60,0
7,MalerPnueli,48,0,0,666,8097314,10312905,31569,0,532880,929494,63,0
7,MalerPnueli,42,0,0,666,8097314,10312905,34931,0,532880,929494,66,0
7,MalerPnueli,13,0,0,666,8097314,10312905,38312,0,532880,929494,69,0
7,MalerPnueli,43,0,0,666,8097314,10312905,39024,0,532880,929494,72,0
7,MalerPnueli,49,0,0,666,8097314,10312905,39742,0,532880,929494,75,0
7,MalerPnueli,68,0,0,666,8097314,10312905,40436,0,532880,929494,78,0
7,MalerPnueli,6,0,0,666,8097314,10312905,44477,0,532880,929494,81,0
7,MalerPnueli,45,0,0,666,8097314,10312905,45222,0,532880,929494,84,0
7,MalerPnueli,69,0,0,666,8097314,10312905,45916,0,532880,929494,87,0
7,MalerPnueli,57,0,0,666,8097314,10312905,49945,0,532880,929494,90,0
7,MalerPnueli,5,0,0,666,8097314,10312905,50639,0,532880,929494,93,0
7,MalerPnueli,18,0,0,666,8097314,10312905,54001,0,532880,929494,96,0
7,MalerPnueli,30,0,0,666,8097314,10312905,54695,0,532880,929494,99,0
7,MalerPnueli,56,0,0,666,8097314,10312905,55389,0,532880,929494,102,0
7,MalerPnueli,67,0,0,666,8097314,10312905,56083,0,532880,929494,105,0
7,MalerPnueli,4,0,0,666,8097314,10312905,56795,0,532880,929494,108,0
7,MalerPnueli,41,0,0,666,8097314,10312905,57555,0,532880,929494,111,0
7,MalerPnueli,86,0,0,666,8097314,10312905,58330,0,532880,929494,114,0
7,MalerPnueli,47,0,0,666,8097314,10312905,59066,0,532880,929494,117,0
7,MalerPnueli,21,0,0,666,8097314,10312905,61775,0,532880,929494,120,0
7,MalerPnueli,52,0,0,666,8097314,10312905,64484,0,532880,929494,123,0
7,MalerPnueli,58,0,0,666,8097314,10312905,65232,0,532880,929494,126,0
7,MalerPnueli,98,0,0,666,8097314,10312905,65944,0,532880,929494,129,0
7,MalerPnueli,16,0,0,666,8097314,10312905,69985,0,532880,929494,132,0
7,MalerPnueli,70,0,0,666,8097314,10312905,70721,0,532880,929494,135,0
7,MalerPnueli,63,0,0,666,8097314,10312905,71415,0,532880,929494,138,0
7,MalerPnueli,23,0,0,666,8097314,10312905,74786,0,532880,929494,141,0
7,MalerPnueli,74,0,0,666,8097314,10312905,75495,0,532880,929494,144,0
7,MalerPnueli,90,0,0,666,8097314,10312905,76213,0,532880,929494,147,0
7,MalerPnueli,27,0,0,666,8097314,10312905,76934,0,532880,929494,150,0
7,MalerPnueli,35,0,0,666,8097314,10312905,79700,0,532880,929494,153,0
7,MalerPnueli,40,0,0,666,8097314,10312905,80427,0,532880,929494,156,0
7,MalerPnueli,9,0,0,666,8097314,10312905,83136,0,532880,929494,159,0
7,MalerPnueli,22,0,0,666,8097314,10312905,83830,0,532880,929494,162,0
7,MalerPnueli,82,0,0,666,8097314,10312905,84587,0,532880,929494,165,0
7,MalerPnueli,1,0,0,666,8097314,10312905,85281,0,532880,929494,168,0
7,MalerPnueli,60,0,0,666,8097314,10312905,86035,0,532880,929494,171,0
