problem,learner,property,fixed,relative,size,learnsymbols,eqsymbols,emsymbols,isymbols,learnqueries,eqqueries,emqueries,iqueries
8,KearnsVazirani,81,0,0,646,997074,272512217,7805,0,101824,27322898,4,0
8,KearnsVazirani,59,0,0,646,997074,272512217,16914,0,101824,27322898,9,0
8,KearnsVazirani,62,0,0,646,997074,272512217,31431,0,101824,27322898,14,0
8,KearnsVazirani,28,0,0,646,997074,272512217,53182,0,101824,27322898,21,0
8,KearnsVazirani,71,0,0,646,997074,272512217,72022,0,101824,27322898,28,0
8,KearnsVazirani,21,0,0,646,997074,272512217,72692,0,101824,27322898,31,0
8,KearnsVazirani,17,0,0,646,997074,272512217,77903,0,101824,27322898,35,0
8,KearnsVazirani,25,0,0,646,997074,272512217,87640,0,101824,27322898,40,0
8,KearnsVazirani,7,0,0,646,997074,272512217,88333,0,101824,27322898,43,0
8,KearnsVazirani,77,0,0,646,997074,272512217,98083,0,101824,27322898,48,0
8,KearnsVazirani,42,0,0,646,997074,272512217,112364,0,101824,27322898,54,0
8,KearnsVazirani,74,0,0,646,997074,272512217,126723,0,101824,27322898,60,0
8,KearnsVazirani,87,0,0,646,997074,272512217,134810,0,101824,27322898,64,0
8,KearnsVazirani,55,0,0,646,997074,272512217,138589,0,101824,27322898,67,0
8,KearnsVazirani,52,0,0,646,997074,272512217,154154,0,101824,27322898,74,0
8,KearnsVazirani,31,0,0,646,997074,272512217,200251,0,101824,27322898,87,0
8,KearnsVazirani,43,0,0,646,997074,272512217,232670,0,101824,27322898,97,0
8,KearnsVazirani,26,0,0,646,997074,272512217,251658,0,101824,27322898,105,0
8,KearnsVazirani,76,0,0,646,997074,272512217,270484,0,101824,27322898,112,0
