problem,learner,property,fixed,relative,size,learnsymbols,eqsymbols,emsymbols,isymbols,learnqueries,eqqueries,emqueries,iqueries
1,MalerPnueli,20,0,0,21,54148,0,123,30,3180,0,5,2
1,MalerPnueli,31,0,0,21,54148,0,226,30,3180,0,8,2
1,MalerPnueli,37,0,0,21,54148,0,322,30,3180,0,11,2
1,MalerPnueli,34,0,0,21,54148,0,425,30,3180,0,14,2
1,MalerPnueli,94,0,0,21,54148,0,521,30,3180,0,17,2
1,MalerPnueli,84,0,0,21,54148,0,590,30,3180,0,20,2
1,MalerPnueli,50,0,0,21,54148,0,689,30,3180,0,23,2
1,MalerPnueli,26,0,0,21,54148,0,788,30,3180,0,26,2
1,MalerPnueli,75,0,0,21,54148,0,891,30,3180,0,29,2
1,MalerPnueli,61,0,0,21,54148,0,931,30,3180,0,32,2
1,MalerPnueli,65,0,0,21,54148,0,1027,30,3180,0,35,2
1,MalerPnueli,29,0,0,21,54148,0,1126,30,3180,0,38,2
1,MalerPnueli,64,0,0,21,54148,0,1229,30,3180,0,41,2
1,MalerPnueli,54,0,0,21,54148,0,1269,30,3180,0,44,2
1,MalerPnueli,59,0,0,21,54148,0,1363,30,3180,0,47,2
1,MalerPnueli,3,0,0,21,54148,0,1466,30,3180,0,50,2
1,MalerPnueli,38,0,0,21,54148,0,1565,30,3180,0,53,2
1,MalerPnueli,93,0,0,21,54148,0,1659,30,3180,0,56,2
1,MalerPnueli,17,0,0,21,54148,0,1711,30,3180,0,59,2
1,MalerPnueli,44,0,0,21,54148,0,1804,30,3180,0,62,2
1,MalerPnueli,91,0,0,21,54148,0,1898,30,3180,0,65,2
1,MalerPnueli,89,0,0,21,54148,0,1994,30,3180,0,68,2
1,MalerPnueli,12,0,0,21,54148,0,2088,30,3180,0,71,2
1,MalerPnueli,39,0,0,21,54148,0,2155,30,3180,0,74,2
1,MalerPnueli,48,0,0,21,54148,0,2285,30,3180,0,77,2
1,MalerPnueli,42,0,0,21,54148,0,2366,30,3180,0,80,2
1,MalerPnueli,49,0,0,21,54148,0,2466,30,3180,0,83,2
1,MalerPnueli,57,0,0,21,54148,0,2565,30,3180,0,86,2
1,MalerPnueli,87,0,0,21,54148,0,2680,30,3180,0,89,2
1,MalerPnueli,5,0,0,21,54148,0,2779,30,3180,0,92,2
1,MalerPnueli,66,0,0,21,54148,0,2879,30,3180,0,95,2
1,MalerPnueli,18,0,0,21,54148,0,2947,30,3180,0,98,2
1,MalerPnueli,56,0,0,21,54148,0,3016,30,3180,0,101,2
1,MalerPnueli,32,0,0,21,54148,0,3137,30,3180,0,104,2
1,MalerPnueli,4,0,0,21,54148,0,3206,30,3180,0,107,2
1,MalerPnueli,47,0,0,21,54148,0,3299,30,3180,0,110,2
1,MalerPnueli,19,0,0,21,54148,0,3363,30,3180,0,113,2
1,MalerPnueli,33,0,0,21,54148,0,3475,30,3180,0,116,2
1,MalerPnueli,58,0,0,21,54148,0,3544,30,3180,0,119,2
1,MalerPnueli,98,0,0,21,54148,0,3596,30,3180,0,122,2
1,MalerPnueli,15,0,0,21,54148,0,3636,30,3180,0,125,2
1,MalerPnueli,63,0,0,21,54148,0,3730,30,3180,0,128,2
1,MalerPnueli,23,0,0,21,54148,0,3832,30,3180,0,131,2
1,MalerPnueli,90,0,0,21,54148,0,3931,30,3180,0,134,2
1,MalerPnueli,27,0,0,21,54148,0,4037,30,3180,0,137,2
1,MalerPnueli,53,0,0,21,54148,0,4136,30,3180,0,140,2
1,MalerPnueli,62,0,0,21,54148,0,4230,30,3180,0,143,2
1,MalerPnueli,88,0,0,21,54148,0,4333,30,3180,0,146,2
1,MalerPnueli,73,0,0,21,54148,0,4427,30,3180,0,149,2
1,MalerPnueli,2,0,0,21,54148,0,4470,30,3180,0,152,2
1,MalerPnueli,25,0,0,21,54148,0,4569,30,3180,0,155,2
1,MalerPnueli,81,0,0,21,54148,0,4672,30,3180,0,158,2
