problem,learner,property,fixed,relative,size,learnsymbols,eqsymbols,emsymbols,isymbols,learnqueries,eqqueries,emqueries,iqueries
2,ExtensibleLStar,9,0,0,22,13980,0,47,0,2431,0,3,0
2,ExtensibleLStar,22,0,0,22,13980,0,94,0,2431,0,6,0
2,ExtensibleLStar,12,0,0,22,13980,0,141,0,2431,0,9,0
2,ExtensibleLStar,1,0,0,22,13980,0,197,0,2431,0,12,0
2,ExtensibleLStar,96,0,0,22,13980,0,255,0,2431,0,15,0
2,ExtensibleLStar,97,0,0,22,13980,0,317,0,2431,0,18,0
2,ExtensibleLStar,87,0,0,22,13980,0,373,0,2431,0,21,0
2,ExtensibleLStar,31,0,0,22,13980,0,420,0,2431,0,24,0
2,ExtensibleLStar,40,0,0,22,13980,0,476,0,2431,0,27,0
2,ExtensibleLStar,95,0,0,22,13980,0,532,0,2431,0,30,0
2,ExtensibleLStar,93,0,0,22,13980,0,582,0,2431,0,33,0
2,ExtensibleLStar,94,0,0,26,1590492,0,1129,160,20652,0,37,1
2,ExtensibleLStar,2,0,0,26,1590492,0,1183,160,20652,0,40,1
2,ExtensibleLStar,44,0,0,26,1590492,0,1247,160,20652,0,43,1
2,ExtensibleLStar,15,0,0,26,1590492,0,1295,160,20652,0,46,1
2,ExtensibleLStar,70,0,0,26,1590492,0,1670,160,20652,0,49,1
2,ExtensibleLStar,8,0,0,26,1590492,0,1736,160,20652,0,52,1
2,ExtensibleLStar,47,0,0,26,1590492,0,1799,160,20652,0,55,1
2,ExtensibleLStar,59,0,0,26,1590492,0,1847,160,20652,0,58,1
2,ExtensibleLStar,68,0,0,26,1590492,0,1911,160,20652,0,61,1
2,ExtensibleLStar,20,0,0,26,1590492,0,1977,160,20652,0,64,1
2,ExtensibleLStar,32,0,0,26,1590492,0,2043,160,20652,0,67,1
2,ExtensibleLStar,58,0,0,26,1590492,0,2091,160,20652,0,70,1
2,ExtensibleLStar,34,0,0,26,1590492,0,2139,160,20652,0,73,1
2,ExtensibleLStar,69,0,0,26,1590492,0,2205,160,20652,0,76,1
2,ExtensibleLStar,6,0,0,26,1590492,0,2269,160,20652,0,79,1
2,ExtensibleLStar,38,0,0,26,1590492,0,2333,160,20652,0,82,1
2,ExtensibleLStar,43,0,0,26,1590492,0,2384,160,20652,0,85,1
2,ExtensibleLStar,88,0,0,26,1590492,0,2453,160,20652,0,88,1
2,ExtensibleLStar,49,0,0,26,1590492,0,2510,160,20652,0,91,1
2,ExtensibleLStar,21,0,0,26,1590492,0,2558,160,20652,0,94,1
2,ExtensibleLStar,23,0,0,26,1590492,0,2606,160,20652,0,97,1
2,ExtensibleLStar,26,0,0,26,1590492,0,2669,160,20652,0,100,1
2,ExtensibleLStar,13,0,0,26,1590492,0,2720,160,20652,0,103,1
2,ExtensibleLStar,35,0,0,26,1590492,0,2784,160,20652,0,106,1
2,ExtensibleLStar,60,0,0,26,1590492,0,2848,160,20652,0,109,1
2,ExtensibleLStar,17,0,0,26,1590492,0,2921,160,20652,0,112,1
2,ExtensibleLStar,25,0,0,26,1590492,0,2985,160,20652,0,115,1
2,ExtensibleLStar,74,0,0,26,1590492,0,3045,160,20652,0,118,1
2,ExtensibleLStar,29,0,0,26,1590492,0,3105,160,20652,0,121,1
2,ExtensibleLStar,37,0,0,26,1590492,0,3153,160,20652,0,124,1
2,ExtensibleLStar,55,0,0,26,1590492,0,3217,160,20652,0,127,1
2,ExtensibleLStar,90,0,0,26,1590492,0,3277,160,20652,0,130,1
2,ExtensibleLStar,11,0,0,26,1590492,0,3403,160,20652,0,133,1
2,ExtensibleLStar,4,0,0,26,1590492,0,3478,160,20652,0,136,1
2,ExtensibleLStar,84,0,0,26,1590492,0,3538,160,20652,0,139,1
