problem,learner,property,fixed,relative,size,learnsymbols,eqsymbols,emsymbols,isymbols,learnqueries,eqqueries,emqueries,iqueries
2,KearnsVazirani,68,0,0,6,786,0,65,41,202,0,7,4
2,KearnsVazirani,59,0,0,9,1217,0,130,87,308,0,12,6
2,KearnsVazirani,37,0,0,11,1966,0,224,148,433,0,17,8
2,KearnsVazirani,44,0,0,11,1966,0,258,148,433,0,20,8
2,KearnsVazirani,12,0,0,11,1966,0,294,148,433,0,23,8
2,KearnsVazirani,84,0,0,11,1966,0,339,148,433,0,26,8
2,KearnsVazirani,2,0,0,11,1966,0,378,148,433,0,29,8
2,KearnsVazirani,38,0,0,11,1966,0,412,148,433,0,32,8
2,KearnsVazirani,8,0,0,11,1966,0,448,148,433,0,35,8
2,KearnsVazirani,21,0,0,11,1966,0,481,148,433,0,38,8
2,KearnsVazirani,1,0,0,11,1966,0,515,148,433,0,41,8
2,KearnsVazirani,17,0,0,11,1966,0,558,148,433,0,44,8
2,KearnsVazirani,22,0,0,11,1966,0,594,148,433,0,47,8
2,KearnsVazirani,25,0,0,11,1966,0,628,148,433,0,50,8
2,KearnsVazirani,88,0,0,11,1966,0,667,148,433,0,53,8
2,KearnsVazirani,58,0,0,11,1966,0,700,148,433,0,56,8
2,KearnsVazirani,49,0,0,11,1966,0,741,148,433,0,59,8
2,KearnsVazirani,13,0,0,11,1966,0,776,148,433,0,62,8
2,KearnsVazirani,74,0,0,11,1966,0,797,148,433,0,65,8
2,KearnsVazirani,15,0,0,11,1966,0,830,148,433,0,68,8
2,KearnsVazirani,6,0,0,11,1966,0,864,148,433,0,71,8
2,KearnsVazirani,87,0,0,11,1966,0,898,148,433,0,74,8
2,KearnsVazirani,55,0,0,11,1966,0,932,148,433,0,77,8
2,KearnsVazirani,11,3,3,12,2200,0,1034,166,508,0,81,9
2,KearnsVazirani,9,0,0,12,2200,0,1071,166,508,0,84,9
2,KearnsVazirani,32,0,0,12,2200,0,1109,166,508,0,87,9
2,KearnsVazirani,31,0,0,12,2200,0,1146,166,508,0,90,9
2,KearnsVazirani,93,0,0,12,2200,0,1182,166,508,0,93,9
2,KearnsVazirani,95,0,0,12,2200,0,1204,166,508,0,96,9
2,KearnsVazirani,35,0,0,12,2200,0,1240,166,508,0,99,9
2,KearnsVazirani,43,0,0,12,2200,0,1277,166,508,0,102,9
2,KearnsVazirani,90,0,0,12,2200,0,1323,166,508,0,105,9
2,KearnsVazirani,20,0,0,12,2200,0,1361,166,508,0,108,9
2,KearnsVazirani,97,0,0,12,2200,0,1413,166,508,0,111,9
2,KearnsVazirani,23,0,0,12,2200,0,1447,166,508,0,114,9
2,KearnsVazirani,60,0,0,12,2200,0,1483,166,508,0,117,9
2,KearnsVazirani,69,0,0,12,2200,0,1521,166,508,0,120,9
2,KearnsVazirani,26,0,0,12,2200,0,1556,166,508,0,123,9
2,KearnsVazirani,47,0,0,12,2200,0,1591,166,508,0,126,9
2,KearnsVazirani,4,0,0,12,2200,0,1638,166,508,0,129,9
2,KearnsVazirani,34,0,0,12,2200,0,1672,166,508,0,132,9
2,KearnsVazirani,96,0,0,12,2200,0,1710,166,508,0,135,9
2,KearnsVazirani,40,0,0,13,2437,420,1757,166,555,103,138,9
2,KearnsVazirani,29,0,0,13,2437,420,1804,166,555,103,141,9
2,KearnsVazirani,94,0,0,26,12531,4891,2460,435,1621,963,147,12
2,KearnsVazirani,70,0,0,26,12531,4891,2835,435,1621,963,150,12
