problem,learner,property,fixed,relative,size,learnsymbols,eqsymbols,emsymbols,isymbols,learnqueries,eqqueries,emqueries,iqueries
3,ADT,11,0,0,25,5382,0,364,276,628,0,14,9
3,ADT,52,0,0,28,6818,0,882,698,722,0,24,14
3,ADT,64,0,0,28,6818,0,1036,793,722,0,28,15
3,ADT,68,0,0,28,6818,0,1098,793,722,0,31,15
3,ADT,79,0,0,28,6818,0,1240,880,722,0,35,16
3,ADT,7,0,0,28,6818,0,1299,880,722,0,38,16
3,ADT,46,0,0,28,6818,0,1535,1057,722,0,43,18
3,ADT,21,0,0,32,8263,0,2892,2325,855,0,62,32
3,ADT,9,0,0,32,8263,0,2990,2325,855,0,65,32
3,ADT,35,0,0,32,8263,0,3158,2430,855,0,69,33
3,ADT,57,0,0,32,8263,0,3445,2631,855,0,74,35
3,ADT,28,0,0,36,9698,0,3998,2911,962,0,82,38
3,ADT,66,0,0,36,9698,0,5040,3842,962,0,93,46
3,ADT,60,0,0,36,9698,0,5107,3842,962,0,96,46
3,ADT,61,0,0,36,9698,0,5185,3842,962,0,99,46
3,ADT,87,0,0,36,9698,0,5369,3959,962,0,103,47
3,ADT,75,0,0,36,9698,0,5471,3959,962,0,106,47
3,ADT,23,0,0,36,9698,0,5550,3959,962,0,109,47
3,ADT,84,0,0,36,9698,0,5644,3959,962,0,112,47
3,ADT,89,0,0,36,9698,0,6119,4304,962,0,118,50
3,ADT,54,0,0,37,10268,0,8149,6235,1016,0,140,67
3,ADT,29,0,0,37,10268,0,8346,6355,1016,0,144,68
3,ADT,90,0,0,37,10268,0,8987,6934,1016,0,152,73
3,ADT,45,0,0,37,10268,0,9173,6934,1016,0,155,73
3,ADT,13,0,0,37,10268,0,9487,7171,1016,0,160,75
3,ADT,91,0,0,37,10268,0,9665,7285,1016,0,164,76
3,ADT,27,0,0,37,10268,0,9733,7285,1016,0,167,76
3,ADT,43,0,0,37,10268,0,9795,7285,1016,0,170,76
3,ADT,78,0,0,37,10268,0,9984,7403,1016,0,174,77
