problem,learner,property,fixed,relative,size,learnsymbols,eqsymbols,emsymbols,isymbols,learnqueries,eqqueries,emqueries,iqueries
3,DHC,43,0,0,39,48165,0,64,0,8791,0,3,0
3,DHC,28,0,0,39,48165,0,364,123,8791,0,7,1
3,DHC,91,0,0,39,48165,0,430,123,8791,0,10,1
3,DHC,60,0,0,39,48165,0,1229,852,8791,0,19,7
3,DHC,54,0,0,39,48165,0,1792,1340,8791,0,26,11
3,DHC,57,0,0,39,48165,0,1985,1466,8791,0,30,12
3,DHC,90,0,0,39,48165,0,2049,1466,8791,0,33,12
3,DHC,45,0,0,39,48165,0,2241,1466,8791,0,36,12
3,DHC,35,0,0,39,48165,0,2311,1466,8791,0,39,12
3,DHC,11,0,0,39,48165,0,2387,1466,8791,0,42,12
3,DHC,27,0,0,39,48165,0,2950,1959,8791,0,49,16
3,DHC,9,0,0,39,48165,0,3055,1959,8791,0,52,16
3,DHC,87,0,0,39,48165,0,3125,1959,8791,0,55,16
3,DHC,84,0,0,39,48165,0,3561,2328,8791,0,61,19
3,DHC,68,0,0,39,48165,0,3777,2471,8791,0,65,20
3,DHC,61,0,0,39,48165,0,3964,2591,8791,0,69,21
3,DHC,64,0,0,39,48165,0,4034,2591,8791,0,72,21
3,DHC,23,0,0,39,48165,0,4116,2591,8791,0,75,21
3,DHC,78,0,0,39,48165,0,4315,2717,8791,0,79,22
3,DHC,89,0,0,39,48165,0,4451,2717,8791,0,82,22
3,DHC,52,0,0,39,48165,0,4785,2972,8791,0,87,24
3,DHC,21,0,0,39,48165,0,4857,2972,8791,0,90,24
3,DHC,7,0,0,39,48165,0,4927,2972,8791,0,93,24
3,DHC,46,0,0,39,48165,0,4997,2972,8791,0,96,24
3,DHC,13,0,0,39,48165,0,5196,3092,8791,0,100,25
3,DHC,79,0,0,39,48165,0,5409,3221,8791,0,104,26
3,DHC,29,0,0,39,48165,0,5488,3221,8791,0,107,26
3,DHC,66,0,0,39,48165,0,5602,3221,8791,0,110,26
