problem,learner,property,fixed,relative,size,learnsymbols,eqsymbols,emsymbols,isymbols,learnqueries,eqqueries,emqueries,iqueries
3,DiscriminationTree,52,0,0,26,22187,0,517,451,2395,0,15,12
3,DiscriminationTree,66,0,0,30,31304,0,1167,1017,2738,0,24,18
3,DiscriminationTree,23,0,0,30,31304,0,1338,1115,2738,0,28,19
3,DiscriminationTree,60,0,0,30,31304,0,1495,1211,2738,0,32,20
3,DiscriminationTree,45,0,0,30,31304,0,1660,1211,2738,0,35,20
3,DiscriminationTree,75,0,0,33,41059,0,2698,2150,3146,0,47,29
3,DiscriminationTree,21,0,0,33,41059,0,2875,2261,3146,0,51,30
3,DiscriminationTree,28,0,0,38,56687,0,4316,3527,3755,0,65,41
3,DiscriminationTree,29,0,0,38,56687,0,4394,3527,3755,0,68,41
3,DiscriminationTree,11,0,0,38,56687,0,4469,3527,3755,0,71,41
3,DiscriminationTree,54,0,0,39,59234,0,6182,5165,3897,0,88,55
3,DiscriminationTree,46,0,0,39,59234,0,6252,5165,3897,0,91,55
3,DiscriminationTree,90,0,0,39,59234,0,6316,5165,3897,0,94,55
3,DiscriminationTree,7,0,0,39,59234,0,6514,5293,3897,0,98,56
3,DiscriminationTree,78,0,0,39,59234,0,6587,5293,3897,0,101,56
3,DiscriminationTree,68,0,0,39,59234,0,6660,5293,3897,0,104,56
3,DiscriminationTree,43,0,0,39,59234,0,6724,5293,3897,0,107,56
3,DiscriminationTree,91,0,0,39,59234,0,6790,5293,3897,0,110,56
3,DiscriminationTree,84,0,0,39,59234,0,6983,5419,3897,0,114,57
3,DiscriminationTree,57,0,0,39,59234,0,7050,5419,3897,0,117,57
3,DiscriminationTree,9,0,0,39,59234,0,7650,5914,3897,0,124,61
3,DiscriminationTree,13,0,0,39,59234,0,7729,5914,3897,0,127,61
3,DiscriminationTree,35,0,0,39,59234,0,7799,5914,3897,0,130,61
3,DiscriminationTree,61,0,0,39,59234,0,7866,5914,3897,0,133,61
3,DiscriminationTree,89,0,0,39,59234,0,8002,5914,3897,0,136,61
3,DiscriminationTree,27,0,0,39,59234,0,8697,6539,3897,0,144,66
3,DiscriminationTree,64,0,0,39,59234,0,8887,6659,3897,0,148,67
3,DiscriminationTree,87,0,0,39,59234,0,9203,6905,3897,0,153,69
3,DiscriminationTree,79,0,0,39,59234,0,9287,6905,3897,0,156,69
