problem,learner,property,fixed,relative,size,learnsymbols,eqsymbols,emsymbols,isymbols,learnqueries,eqqueries,emqueries,iqueries
3,TTT,66,0,0,28,14405,0,1482,1379,2214,0,22,19
3,TTT,9,0,0,28,14405,0,1666,1469,2214,0,26,20
3,TTT,45,0,0,28,14405,0,2098,1742,2214,0,32,23
3,TTT,13,0,0,28,14405,0,2281,1742,2214,0,35,23
3,TTT,43,0,0,28,14405,0,2334,1742,2214,0,38,23
3,TTT,28,0,0,31,17912,0,3345,2641,2675,0,50,32
3,TTT,75,0,0,31,17912,0,3543,2742,2675,0,54,33
3,TTT,60,0,0,31,17912,0,3605,2742,2675,0,57,33
3,TTT,21,0,0,31,17912,0,3768,2841,2675,0,61,34
3,TTT,84,0,0,31,17912,0,3953,2937,2675,0,65,35
3,TTT,90,0,0,31,17912,0,4207,3135,2675,0,70,37
3,TTT,46,0,0,31,17912,0,4395,3234,2675,0,74,38
3,TTT,11,0,0,31,17912,0,4463,3234,2675,0,77,38
3,TTT,27,0,0,31,17912,0,4890,3534,2675,0,83,41
3,TTT,52,0,0,31,17912,0,5079,3534,2675,0,86,41
3,TTT,91,0,0,31,17912,0,5242,3639,2675,0,90,42
3,TTT,35,0,0,34,20228,0,6704,4909,3092,0,105,54
3,TTT,89,1,1,34,20228,0,7585,5664,3092,0,115,61
3,TTT,64,0,0,35,21209,0,10248,8261,3236,0,142,85
3,TTT,23,0,0,35,21209,0,10326,8261,3236,0,145,85
3,TTT,78,0,0,35,21209,0,10503,8369,3236,0,149,86
3,TTT,54,0,0,36,21774,0,12909,10703,3331,0,173,107
3,TTT,87,0,0,36,21774,0,12976,10703,3331,0,176,107
3,TTT,29,0,0,38,24343,0,15963,13612,3726,0,203,131
3,TTT,57,0,0,38,24343,0,16029,13612,3726,0,206,131
3,TTT,79,0,0,38,24343,0,16112,13612,3726,0,209,131
3,TTT,7,0,0,38,24343,0,16181,13612,3726,0,212,131
3,TTT,61,0,0,38,24343,0,16247,13612,3726,0,215,131
3,TTT,68,0,0,38,24343,0,16553,13846,3726,0,220,133
