problem,learner,property,fixed,relative,size,learnsymbols,eqsymbols,emsymbols,isymbols,learnqueries,eqqueries,emqueries,iqueries
6,RivestSchapire,99,0,0,143,612518,0,968,526,17219,0,10,7
6,RivestSchapire,31,0,0,143,612518,0,1535,526,17219,0,13,7
6,RivestSchapire,34,0,0,143,612518,0,2077,526,17219,0,16,7
6,RivestSchapire,10,0,0,143,612518,0,2437,526,17219,0,19,7
6,RivestSchapire,55,0,0,143,612518,0,2855,526,17219,0,22,7
6,RivestSchapire,94,0,0,143,612518,0,3521,526,17219,0,25,7
6,RivestSchapire,84,0,0,143,612518,0,3851,526,17219,0,28,7
6,RivestSchapire,85,0,0,210,3317216,0,5660,1788,37905,0,35,11
6,RivestSchapire,50,0,0,229,5873094,0,6633,2457,44773,0,39,12
6,RivestSchapire,26,0,0,229,5873094,0,6913,2457,44773,0,42,12
6,RivestSchapire,61,0,0,229,5873094,0,7426,2457,44773,0,45,12
6,RivestSchapire,29,0,0,229,5873094,0,8140,2457,44773,0,48,12
6,RivestSchapire,14,0,0,229,5873094,0,8830,2457,44773,0,51,12
6,RivestSchapire,54,0,0,229,5873094,0,9438,2457,44773,0,54,12
6,RivestSchapire,59,0,0,229,5873094,0,10082,2457,44773,0,57,12
6,RivestSchapire,3,0,0,229,5873094,0,11963,3624,44773,0,61,13
6,RivestSchapire,38,0,0,229,5873094,0,12571,3624,44773,0,64,13
6,RivestSchapire,17,0,0,229,5873094,0,13285,3624,44773,0,67,13
6,RivestSchapire,92,0,0,229,5873094,0,13999,3624,44773,0,70,13
6,RivestSchapire,51,0,0,229,5873094,0,14548,3624,44773,0,73,13
6,RivestSchapire,0,0,0,229,5873094,0,15262,3624,44773,0,76,13
6,RivestSchapire,13,0,0,229,5873094,0,16971,4782,44773,0,80,14
6,RivestSchapire,68,0,0,229,5873094,0,18150,5247,44773,0,84,15
6,RivestSchapire,6,0,0,229,5873094,0,18669,5247,44773,0,87,15
6,RivestSchapire,57,0,0,229,5873094,0,19383,5247,44773,0,90,15
6,RivestSchapire,87,0,0,229,5873094,0,20099,5247,44773,0,93,15
6,RivestSchapire,5,0,0,229,5873094,0,20744,5247,44773,0,96,15
6,RivestSchapire,66,0,0,229,5873094,0,21246,5247,44773,0,99,15
6,RivestSchapire,18,0,0,229,5873094,0,21960,5247,44773,0,102,15
6,RivestSchapire,30,0,0,229,5873094,0,22540,5247,44773,0,105,15
6,RivestSchapire,32,0,0,229,5873094,0,23168,5247,44773,0,108,15
6,RivestSchapire,67,0,0,229,5873094,0,25037,6406,44773,0,112,16
6,RivestSchapire,4,0,0,229,5873094,0,25598,6406,44773,0,115,16
6,RivestSchapire,36,0,0,229,5873094,0,26158,6406,44773,0,118,16
6,RivestSchapire,21,0,0,229,5873094,0,26433,6406,44773,0,121,16
6,RivestSchapire,24,0,0,229,5873094,0,27147,6406,44773,0,124,16
6,RivestSchapire,11,0,0,229,5873094,0,27664,6406,44773,0,127,16
6,RivestSchapire,52,0,0,229,5873094,0,27974,6406,44773,0,130,16
6,RivestSchapire,70,0,0,229,5873094,0,29471,6887,44773,0,134,17
6,RivestSchapire,15,0,0,229,5873094,0,30185,6887,44773,0,137,17
6,RivestSchapire,97,0,0,229,5873094,0,30783,6887,44773,0,140,17
6,RivestSchapire,74,0,0,229,5873094,0,31992,7382,44773,0,144,18
6,RivestSchapire,90,0,0,229,5873094,0,33002,7382,44773,0,147,18
6,RivestSchapire,72,0,0,229,5873094,0,34012,7382,44773,0,150,18
6,RivestSchapire,27,0,0,229,5873094,0,34260,7382,44773,0,153,18
6,RivestSchapire,83,0,0,229,5873094,0,34905,7382,44773,0,156,18
6,RivestSchapire,78,0,0,229,5873094,0,35706,7382,44773,0,159,18
6,RivestSchapire,53,0,0,229,5873094,0,36695,7382,44773,0,162,18
6,RivestSchapire,62,0,0,229,5873094,0,37409,7382,44773,0,165,18
6,RivestSchapire,88,0,0,229,5873094,0,38123,7382,44773,0,168,18
6,RivestSchapire,2,0,0,229,5873094,0,38837,7382,44773,0,171,18
6,RivestSchapire,25,0,0,229,5873094,0,39553,7382,44773,0,174,18
6,RivestSchapire,22,0,0,229,5873094,0,40121,7382,44773,0,177,18
6,RivestSchapire,82,0,0,229,5873094,0,40634,7382,44773,0,180,18
6,RivestSchapire,1,0,0,229,5873094,0,41356,7382,44773,0,183,18
6,RivestSchapire,60,0,0,229,5873094,0,42000,7382,44773,0,186,18
6,RivestSchapire,81,0,0,229,5873094,0,42716,7382,44773,0,189,18
